"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"5868","DAT",167,94,183,191,143,131
"5869","CG4945",117,41,54,105,111,79
"5870","RpS15",87716,78790,99723,78423,49712,138424
"5871","CG4927",81,69,173,236,228,223
"5872","Lst",293,952,649,465,788,781
"5873","Dolk",2796,2275,2803,3024,2269,3161
"5874","CG8306",2473,2041,2281,1406,1170,1303
"5875","CG8303",38,30,42,71,55,76
"5877","CG5065",2145,1623,3174,2814,2746,2436
"5878","CG15617",6,5,6,6,16,5
"5879","Acp53C14a",0,1,0,1,1,0
"5880","Acp53C14b",3,3,5,1,10,1
"5883","resilin",18,21,41,37,61,29
"5884","RalGPS",5665,4817,6120,4289,3354,3062
"5885","CG15615",2,1,1,3,1,1
"5886","CG5550",0,1,2,2,0,1
"5887","CG6426",162,187,174,128,118,267
"5888","CG6435",0,0,2,2,4,2
"5890","CG15614",2,0,1,2,2,2
"5891","CG6665",685,579,694,897,694,832
"5892","CG9010",1,1,2,31,0,0
"5893","ste24b",321,256,314,340,292,271
"5894","ste24a",4253,3679,4602,4411,3448,3877
"5895","AsnRS-m",847,699,890,707,559,649
"5896","CG6805",912,781,990,931,652,892
"5897","Ehbp1",5920,5001,6289,7916,6277,5983
"5898","CG8963",9602,9032,10058,8969,7307,7105
"5899","SmydA-7",396,335,397,403,327,367
"5900","SmydA-6",4,2,1,2,4,1
"5901","CG9646",4899,3742,5208,5998,5036,5348
"5902","CG8950",1467,1157,1379,1052,743,839
"5903","Mov10",6,4,6,18,9,11
"5904","CG6984",236,206,300,270,238,295
"5905","CG15611",497,344,718,351,402,328
"5907","CG15605",0,0,1,13,0,0
"5908","Cda9",7,7,13,6,4,9
"5909","CG11400",5,3,1,5,8,11
"5910","Gbp1",14,17,19,33,51,78
"5911","Gbp2",115,229,263,260,406,429
"5912","CG17290",2,5,8,6,6,10
"5913","CG17287",0,0,0,3,0,0
"5914","CG10953",0,1,34,5,3,3
"5915","CG10950",1,0,1,19,2,5
"5917","Camp",1335,1160,1378,1134,927,970
"5918","CG6550",1367,1283,1438,1026,783,824
"5919","Mtap",1840,1531,1949,1947,1473,2550
"5920","Lhr",466,403,540,358,264,486
"5922","mthl4",148,136,238,259,226,246
"5923","CG10764",26,37,85,239,225,223
"5924","Tes",2062,1626,2078,1865,1487,1502
"5925","insb",1706,1046,1280,1664,1007,2068
"5927","CG4847",5,2,45,6,23,3
"5928","CG4853",3193,2831,3866,3626,3097,3094
"5929","APC10",920,813,978,803,579,859
"5930","CG4866",1265,1171,1383,1074,726,2078
"5931","eIF3b",40716,31347,35959,29422,21982,24985
"5932","MESR4",11754,10270,11713,9185,7348,6711
"5934","Ns2",7313,6262,7413,4882,3764,4083
"5935","UQCR-6.4",2271,1909,2776,2051,1190,6280
"5936","Dcr-2",83240,89218,122704,30846,24098,23750
"5937","CG6484",32,16,32,29,16,24
"5938","CG14483",14,14,19,25,15,13
"5939","RhoGAP54D",4163,3491,4314,2572,1925,1862
"5941","CG10936",306,296,307,357,335,203
"5943","eIF3c",39301,31596,34259,27983,20628,22243
"5944","P32",8389,6965,8340,6798,4558,8531
"5945","HPS4",899,798,1252,1456,1302,1224
"5946","swi2",30,33,82,45,45,56
"5947","CG10934",0,2,8,20,0,1
"5948","Dlish",418,315,414,240,174,313
"5949","Snx16",603,552,675,545,455,569
"5952","Hyccin",1262,1087,1346,1101,991,980
"5953","PIG-A",653,604,670,551,423,478
"5954","Vps50",2046,1631,2126,2254,1949,1782
"5955","Ir54a",14,13,18,13,15,8
"5956","CG10931",1,0,1,12,1,4
"5957","CG5002",205,180,150,996,702,908
"5958","Sardh",54,227,247,76,328,138
"5959","OstΔ",10930,9071,10736,10610,8644,8909
"5960","CG14488",1,0,0,16,0,1
"5961","CG18635",2,1,5,2,10,4
"5962","CG14490",45,25,23,30,14,22
"5963","Mapmodulin",27583,23101,27395,19977,14623,16927
"5966","dpr13",765,740,1263,2024,1880,1666
"5967","CG5084",0,4,12,9,5,17
"5968","CG10910",1,4,30,1,9,21
"5969","CG5773",126,143,212,343,692,992
"5970","CG5770",1,0,3,1,1,23
"5971","CG5767",0,0,21,4,11,48
"5972","CG14495",0,0,1,0,0,2
"5973","Muc55B",4,7,44,1,3,1
"5974","CG10911",0,1,6,2,6,0
"5975","CG10912",6,8,22,7,46,29
"5976","CG5757",2339,2135,2604,1619,908,2101
"5977","CG5098",6283,5335,6168,4981,4187,3649
"5978","CG5756",15,15,17,28,16,33
"5979","CG5742",1445,1269,1523,1407,1228,1160
"5980","CG10914",776,617,715,508,450,506
"5981","Naus",3512,2948,3590,3417,2686,2843
"5982","Nup75",6531,5072,5677,4957,3478,3930
"5983","CG10916",1129,750,815,1352,974,1480
"5984","CG5726",2740,2494,2838,2308,1923,1890
"5985","nopo",810,694,834,576,360,523
"5986","CG5721",2065,1792,2334,2702,1949,3043
"5996","BomBc1",37,29,26,24,18,21
"5997","BomS1",0,1,0,45,1,2
"5999","BomBc2",0,0,0,8,0,0
"6000","GstE1",1631,1405,1670,1359,1113,1868
"6001","CG5174",8504,7391,9479,8773,6767,10321
"6002","PIG-O",1700,1406,1833,2323,1932,1880
"6004","rswl",1183,1150,1282,909,684,860
"6005","Dnaaf3",5,1,8,16,3,0
"6006","GstE11",250,234,287,346,301,594
"6007","Pepck2",265,316,285,1436,1344,1198
"6008","CG10927",361,362,473,292,185,320
"6009","mRpS28",1164,1161,1434,884,640,1584
"6010","CG5323",1649,1619,1818,1364,988,2132
"6011","CG5327",0,1,1,4,1,0
"6012","CG5493",0,0,0,0,1,0
"6014","Atg7",1635,1497,1760,2595,1792,2007
"6015","zda",4518,3889,4838,5298,4204,4916
"6016","Ntan1",1349,1127,1509,1684,1307,1818
"6019","CG15073",697,594,792,486,415,456
"6020","Vps51",1460,1181,1444,1388,1130,1104
"6024","Cyp12b2",158,93,184,151,139,156
"6025","Mctp",881,597,1097,1057,983,833
"6027","CG15080",24,22,26,32,19,15
"6028","MFS15",606,469,705,944,746,893
"6029","CG15096",4,4,89,20,15,16
"6030","CG15097",703,566,716,1538,1282,1181
"6031","CG15082",114,82,110,114,96,105
"6032","CG15098",13553,11299,14957,12304,9439,17082
"6033","CG15083",488,404,736,667,481,1057
"6034","CG15099",3612,3093,3940,5845,5071,4144
"6035","MetRS",7954,7594,9319,5671,4502,4522
"6036","CG15084",492,402,526,320,267,332
"6037","CG18190",3466,2727,3455,2072,1263,2581
"6039","Jheh3",374,342,531,288,288,380
"6040","DptB",10,1,1,8,2,3
"6041","sano",682,619,774,1169,1313,886
"6042","CG18605",77,89,85,31,12,17
"6043","CG15115",0,0,1,0,0,0
"6044","CG15116",1,0,0,0,0,0
"6045","CG15109",2,3,4,113,1,2
"6046","CG15117",83,77,138,118,82,97
"6047","CG15118",3628,3083,3696,4569,3565,3984
"6048","CG15111",2118,1740,2432,2699,2223,2430
"6049","CG10737",2033,1818,2620,2508,2131,1865
"6050","CG7137",1389,1288,1344,931,662,916
"6051","tbrd-2",4,0,0,9,0,0
"6052","CG11906",1113,1018,1115,949,721,812
"6055","AANATL6",0,0,0,0,0,2
"6056","AANATL4",0,0,0,1,0,0
"6057","mip40",3301,2756,3265,2395,1520,3294
"6058","CG7461",2712,2186,2669,3201,2487,2936
"6059","EndoB",1047,972,1543,1734,1613,1616
"6061","CG11961",4685,4007,4866,3254,2491,2358
"6062","CG10051",12,8,24,9,6,7
"6063","CG9416",1204,1183,701,11709,8573,7925
"6064","CG10062",1,4,8,15,13,11
"6065","CG10073",5,8,19,1,10,11
"6067","CG11257",369,288,345,318,238,311
"6068","cer",342,401,482,1452,798,3859
"6069","Arl6",13,5,17,20,6,18
"6070","CG7744",3359,2911,3302,2187,1565,1749
"6071","TBCB",1849,1603,2073,2402,1922,2331
"6072","Oseg6",230,203,274,422,382,428
"6073","CG15120",2,2,3,6,7,20
"6074","CG11007",882,744,945,949,606,1025
"6075","Ir56b",1,2,0,8,6,8
"6076","Ir56c",0,0,2,0,0,0
"6077","Ir56d",1,1,0,0,0,0
"6079","CG18367",0,1,0,3,0,0
"6080","CG15124",0,0,3,11,0,0
"6081","CG15905",99,67,22,87,111,37
"6082","CG15125",1,6,7,8,5,10
"6083","CG11018",0,0,0,20,0,0
"6084","CG15128",5,1,2,49,0,0
"6085","Obp56a",49,27,49,33,58,13
"6086","Obp56d",24,18,53,46,577,171
"6087","Obp56e",0,0,0,0,0,1
"6088","CG8517",1,1,1,59,0,0
"6089","Or56a",2,1,1,1,4,4
"6090","Obp56g",1,0,0,0,0,0
"6091","Obp56h",0,0,1,4,17,8
"6092","Toll-7",5531,5031,6701,7696,6969,6098
"6093","CG13872",5,12,8,16,6,10
"6094","CG10822",1,0,0,5,0,0
"6095","CG8654",18,21,35,44,41,37
"6096","CG16898",1,4,8,2,5,5
"6097","CG11041",4,4,3,5,1,3
"6098","CG16894",3,1,0,21,1,0
"6099","CG11044",1,2,4,0,0,0
"6100","CG11099",0,0,0,55,52,61
"6101","CG13869",1,0,0,4,5,2
"6102","Efhc1.2",57,45,47,71,63,57
"6103","Hacl",4068,3469,4391,3623,2750,3368
"6104","ppk6",2,0,1,4,0,0
"6105","CG9864",36,28,92,42,58,103
"6106","Hsl",1806,1542,2056,2127,1988,1763
"6107","CG8908",659,390,393,408,321,305
"6108","CG10444",1707,1312,1697,2298,1589,2026
"6109","CG11788",733,639,835,411,355,518
"6110","Mpcp1",32,22,55,18,10,29
"6111","CG16868",3157,2814,3309,2866,2282,2002
"6112","Cpr56F",2,0,1,5,0,14
"6113","CG11200",178,159,217,311,276,402
"6114","CG13868",4744,4626,5713,8738,8408,7603
"6115","CG13871",3,1,4,51,23,17
"6116","MED8",1652,1514,1905,1285,894,1689
"6117","CG8929",7469,6943,8755,7944,6350,6475
"6118","CG16739",7,3,10,26,3,7
"6119","CG13870",6,6,15,17,6,6
"6121","Obp57c",0,0,0,0,0,3
"6122","CG13426",0,0,0,3,0,0
"6123","GNBP-like3",0,0,2,9,0,1
"6124","Bbd",382,469,629,555,471,1044
"6125","CG13423",2,1,6,5,0,3
"6131","lms",123,41,52,85,60,61
"6132","Mgat1",1618,1280,1539,1611,1239,1320
"6133","Nnf1a",1395,1182,1471,990,580,2062
"6134","CG9945",1986,1589,1922,1411,1115,1395
"6135","CG11180",2770,2441,2766,1806,1351,1494
"6136","FAM21",902,809,1074,1070,898,876
"6137","Rcd6",187,172,220,261,237,192
"6139","maf-S",1590,1493,1793,1314,1094,2411
"6140","CG11110",317,289,319,313,197,472
"6141","DMAP1",3406,3323,3557,2423,1792,2249
"6144","Lrt",118,144,187,167,217,109
"6145","CG13437",32,14,51,47,77,55
"6146","Fem-1",2744,2388,3172,3245,2615,2679
"6147","galla-1",803,798,998,789,697,963
"6148","CG13438",0,0,0,1,0,0
"6150","CG13443",1,0,1,1,0,2
"6151","CG15225",2,1,1,24,15,9
"6152","CG17999",284,140,238,114,90,96
"6153","CG9993",1422,941,1412,676,375,663
"6154","CAH14",24,16,16,20,7,5
"6155","Cib2",166,105,169,144,118,177
"6156","CAH15",0,3,1,11,0,0
"6157","CG15649",0,2,0,0,0,1
"6158","CG9344",1367,1514,1542,1233,706,2344
"6159","CG15650",73,50,87,68,48,68
"6160","CG9313",243,191,298,286,175,288
"6161","CG15651",510,428,592,793,755,851
"6162","CG3216",232,155,224,381,315,315
"6163","dgt3",1766,1358,1684,1173,808,1045
"6164","CG10543",6196,6325,6866,4915,3851,3590
"6165","CG9346",3580,2922,3485,3267,2556,2514
"6166","Sou",2677,2545,2732,3040,2327,3068
"6167","ND-B14.7",2322,2009,2767,2315,1780,3494
"6168","cpa",4439,3596,4110,5407,4301,4718
"6169","CG15653",203,182,253,185,140,353
"6170","mRpL54",700,591,846,624,411,945
"6171","Cht8",30,23,31,30,17,31
"6172","Cht9",2,3,117,4,2,9
"6173","CG10527",818,762,1441,1372,1292,2140
"6174","Rbpn-5",991,852,1013,1152,972,1083
"6176","Magi",3279,2826,3062,2160,1648,1653
"6177","CG9406",1,0,6,8,0,3
"6178","CG15657",46,43,50,54,49,66
"6179","CG4266",8858,7713,8700,8119,6652,6312
"6180","hng1",594,487,627,486,350,556
"6182","Lapsyn",478,370,577,838,632,1129
"6183","Ugt49C1",37,20,93,16,30,14
"6184","ASPP",507,507,742,523,691,460
"6185","MFS16",1757,1473,1736,1876,1493,1570
"6186","CG10505",12,7,98,18,31,19
"6187","CG9752",2148,1730,2208,1484,988,1637
"6188","Panx",1095,950,1349,881,666,693
"6189","CG9485",1619,1192,2193,1207,1123,1073
"6190","BBS9",54,51,35,45,15,47
"6191","CG9822",1,1,3,33,34,7
"6192","CG17974",0,0,3,2,0,1
"6193","bisc",560,551,661,584,420,587
"6194","eEFSec",306,257,336,382,274,428
"6195","Acox57D-p",128,139,222,216,247,192
"6196","Acox57D-d",44,54,52,78,76,90
"6197","TAF1C-like",2115,1778,2142,1458,1083,1331
"6198","CG10494",711,644,852,539,377,472
"6199","twz",561,497,643,1084,1165,961
"6200","CG10433",831,902,1439,887,698,1473
"6201","CG15673",79,74,145,181,172,166
"6202","mahj",9484,7627,8944,7491,5568,5348
"6203","CG15674",8,7,3,4,6,2
"6204","CG10321",3667,3148,3932,3078,2407,2523
"6205","Ip6k",3850,3489,5129,5075,4666,4204
"6206","ND-B12",2073,1658,2472,2217,1447,5098
"6207","Rae1",3855,3182,3766,2949,2025,3416
"6208","pirk",5,13,12,13,25,18
"6210","NC2α",1544,1502,1684,1506,1091,1575
"6211","CG15676",1,2,1,7,5,2
"6212","eIF3k",10489,8110,8852,7253,5247,8489
"6213","CG10307",175,132,180,152,111,126
"6214","LBR",9683,9740,10395,7330,5138,5554
"6215","Grx1t",1,0,1,22,0,0
"6216","CG4021",1,1,4,26,0,0
"6217","Loxl2",0,0,1,1,2,0
"6218","tpr",49,34,51,100,111,98
"6219","CG13492",8,9,20,2,5,3
"6220","CG4363",0,1,1,0,2,0
"6221","CG4377",2,1,2,0,0,3
"6223","CG9294",1,0,0,0,0,0
"6224","comr",0,0,0,4,0,0
"6225","CG13488",0,0,4,10,11,17
"6226","CG13494",1,1,0,4,1,0
"6227","CG9304",2462,1953,2331,2225,1644,1862
"6229","CG13500",8,3,10,11,12,1
"6230","CG13501",0,3,1,15,4,0
"6231","CG11475",62,59,76,85,78,55
"6232","CG11474",1066,943,1155,993,778,1025
"6233","CG2921",1122,1060,1155,1315,975,1289
"6234","Synj",2610,2297,3027,3159,2766,2552
"6235","CG13502",11,11,15,23,36,31
"6236","flap",61,129,60,67,46,59
"6237","Plekhm1",482,413,687,952,815,1009
"6238","GM130",1756,1479,1773,1909,1559,1652
"6240","CG3045",1790,1442,1602,1126,836,1052
"6241","Fbxo42",506,353,475,404,333,331
"6242","CG11170",446,382,467,602,441,855
"6244","MED16",1894,1731,1783,1500,1165,1238
"6245","Vps35",5925,4969,6061,6435,5057,4958
"6246","Swim",7461,5339,8301,13443,10390,12833
"6247","Alp7",6,3,15,3,21,1
"6248","Alp8",9,5,316,3,12,14
"6249","CG11291",12,6,6,15,5,1
"6250","Oatp58Db",2,2,22,3,3,1
"6251","Oatp58Dc",860,662,1235,829,673,656
"6252","CG5819",0,0,29,2,5,1
"6253","wdp",9821,7804,9972,6577,5175,5234
"6254","Liprin-γ",3814,3427,5618,7964,7621,6653
"6256","Rtf1",5063,4454,5358,4159,3242,3173
"6257","CG13506",1507,1297,2361,2596,2345,2274
"6258","babos",825,689,985,1714,1311,2218
"6259","CG6044",332,268,486,746,714,797
"6260","PolE4",1126,1062,1268,762,515,1329
"6261","mRpS29",2086,1684,2062,1456,1209,1687
"6262","rad50",7038,5445,6297,4085,3088,3262
"6263","CG10344",74,54,58,82,49,76
"6264","ppk12",14,17,14,15,10,12
"6265","CG10384",744,579,1204,1041,1026,887
"6266","CG4752",88,97,505,92,131,88
"6267","CG4554",5484,4471,5194,3664,2890,2398
"6268","CG4610",1180,1019,1357,961,757,778
"6270","CG11362",6,2,5,13,4,7
"6271","CG3927",1,1,2,25,0,0
"6272","nsr",23,16,19,44,16,26
"6273","CG4269",50,50,45,116,100,119
"6274","CG4294",5500,4252,5884,4900,3759,3519
"6275","RpS16",86999,77501,92738,72161,47448,108061
"6276","Vps20",1762,1497,1861,1756,1210,2317
"6277","tous",52,30,37,60,34,34
"6278","CG17807",1888,1611,1959,1249,818,1219
"6279","CG3732",3860,3243,3691,2990,2355,2749
"6280","CG2852",18215,14735,18688,25586,21703,28965
"6281","CG3746",56,51,133,35,25,87
"6282","Cyp6d2",15,43,40,42,35,46
"6285","CG4250",402,474,548,1413,1004,1470
"6286","RYBP",2965,2510,3088,3063,2355,2537
"6288","Obp58b",0,0,0,0,1,0
"6289","Obp58c",0,0,0,0,0,2
"6290","Obp58d",0,1,0,1,0,0
"6293","CG12490",0,0,2,0,0,0
"6294","CG9825",1,0,0,1,1,1
"6295","CG9826",0,5,25,0,1,5
"6296","CG3649",38,27,34,43,58,21
"6297","CG13531",2450,2018,2337,2962,2354,2130
"6298","CG13532",781,658,1059,2700,2268,2679
"6299","PIP5K59B",2148,1901,3084,5339,4995,4329
"6300","EMC8-9",1665,1449,1555,1692,1190,1823
"6301","YME1L",9820,7842,9104,7979,5996,6645
"6302","asrij",3377,3380,3828,2467,1423,5036
"6303","MED23",5848,5281,5917,4914,3736,3448
"6304","CG3700",1686,1448,1692,1557,1245,1352
"6305","nahoda",553,474,692,413,505,343
"6306","CG3788",1047,609,926,731,570,583
"6307","CNBP",73467,62710,78200,53510,42088,45258
"6308","CG9849",1181,1001,1174,957,692,1013
"6309","CG3831",855,661,732,1998,1595,2060
"6312","CG9890",1183,1027,1155,856,618,697
"6313","CG3085",1120,887,1057,880,455,678
"6314","Art7",1587,1353,1835,953,733,827
"6315","CG9877",4,6,21,5,7,17
"6316","CG13538",1,0,0,8,0,0
"6318","RpL37b",2,2,1,10,0,1
"6319","Klp59C",2,0,2,43,1,0
"6320","Gpdh2",0,0,0,10,1,0
"6321","CG13544",1,1,1,26,0,0
"6322","Klp59D",0,0,0,56,2,0
"6324","CG9899",1,2,5,11,3,4
"6326","LS2",2,1,0,10,2,0
"6327","CG3092",0,0,1,14,0,0
"6328","RpL22-like",0,6,10,15,3,1
"6329","CG12782",0,0,1,5,0,1
"6330","CG13540",2,2,2,8,3,3
"6331","CG3124",7,2,5,122,1,1
"6332","atlas",0,0,3,7,0,1
"6333","Prosβ5R1",1,0,2,20,0,1
"6334","CG9861",3,2,3,70,1,6
"6335","CG9863",0,0,0,1,0,0
"6336","CG3500",1091,918,1308,691,506,891
"6337","CG9875",7,0,9,25,7,8
"6338","Ice1",3143,2503,3012,2060,1582,1489
"6339","Golgin245",3099,2656,3410,3738,3162,2773
"6341","eIF2Bδ",4260,3537,4306,3889,3026,3218
"6342","CG3520",1668,1496,1770,1535,1298,1180
"6343","CG9812",99,110,240,276,203,579
"6344","CG9815",20,14,7,19,21,38
"6349","CG13558",0,0,3,2,1,0
"6350","CG13559",3,6,8,2,6,5
"6351","CG3906",3,0,4,1,1,0
"6352","wmd",4281,3428,4144,3724,2699,3543
"6353","levy",4077,3183,4947,4027,3105,5899
"6354","pita",9996,9238,10914,6100,4387,5007
"6355","Rrp4",4807,4329,4945,3045,1959,4072
"6356","ItgaPS5",356,292,418,170,157,163
"6357","Eglp1",1,0,0,32,0,0
"6358","Eglp2",31,26,90,124,94,139
"6361","St1",15,3,11,6,3,8
"6362","mRpL43",1336,1072,1278,1019,723,1019
"6363","sigmar",1924,1576,1890,1927,1473,1593
"6364","Sesn",15,8,14,39,38,38
"6366","CG13560",2,4,5,0,0,0
"6368","CG11300",18,7,10,11,195,9
"6369","CG5532",1516,1342,1939,1771,1290,3137
"6370","sona",149,158,152,568,201,402
"6372","CG13561",4,9,3,5,1,5
"6374","CG5543",1424,1094,1230,1064,822,854
"6375","pippin",114,88,143,108,180,128
"6377","GlyT",221,192,550,247,211,177
"6378","Snap29",2827,2528,3086,2922,1992,4308
"6379","CG5554",9276,7731,9154,9624,7624,9669
"6382","CG5569",1074,823,1039,740,572,745
"6383","CG5597",48,29,98,57,37,51
"6384","DCP1",2659,2416,2884,2054,1482,2115
"6385","Upf3",2139,1994,2310,1537,1082,1255
"6386","CG17658",123,134,114,82,50,84
"6387","CG5339",1026,882,1092,938,679,1255
"6388","CG13562",19,25,25,21,19,20
"6390","CG3735",2134,1950,2322,1728,1295,1433
"6391","Orcokinin",2999,2611,5950,3451,2737,6604
"6392","Stoml2",3150,2782,3159,3002,2086,4154
"6394","CG3803",1350,1099,1301,1256,880,1274
"6395","thoc5",3176,2655,2922,2499,1838,2368
"6396","CG16787",825,591,772,699,483,881
"6397","CG13566",2,4,2,6,3,1
"6398","Fmo-1",4,15,26,23,43,26
"6399","CG10904",926,741,1025,713,503,961
"6400","CG3065",2359,2176,2649,1897,1533,1601
"6401","PPP1R15",2776,2242,2741,2949,2288,2440
"6402","Pask",308,261,458,633,614,545
"6403","CG3860",1258,1029,1679,1398,1268,1328
"6404","CG4324",22,26,26,29,37,12
"6405","Rsph4a",2,1,1,31,0,1
"6406","CG3907",2437,1957,2869,3195,2745,3307
"6407","Xxylt",1231,1115,1490,1729,1499,1584
"6408","CG3163",1350,1250,1508,1054,871,926
"6409","MAN1",2436,2106,2488,2017,1500,1701
"6410","Not11",1139,1017,1294,1000,712,1371
"6411","IntS1",5596,4831,5724,4467,3694,3403
"6412","ppk29",85,93,169,111,116,65
"6413","CG13563",4,15,12,8,5,5
"6414","RpL12",97849,89219,104558,76474,50211,137391
"6415","yki",1475,1259,1590,1567,1194,1298
"6416","Gpat4",4938,4166,4750,5020,3700,4965
"6417","CG10339",61,42,76,46,43,41
"6418","CG13564",1,1,1,4,1,0
"6419","CG16786",93,74,32,178,237,119
"6420","enok",9067,7935,9116,7101,5548,4950
"6421","CG4049",2908,2525,3067,2911,2470,2194
"6422","CG3257",1284,1140,1914,3009,2903,2633
"6423","Naa35",2827,2417,2918,2466,1992,2257
"6424","CG3328",1609,1224,1722,1941,1730,1726
"6425","mRpS17",1097,997,1214,820,637,1398
"6426","cN-IIIB",928,813,1082,844,698,853
"6427","CG3356",5293,4554,5536,4453,3595,3374
"6428","CG11406",4,3,5,10,7,7
"6430","CG13575",12,11,9,34,54,24
"6431","CG3376",2239,2319,2405,6525,5106,5199
"6432","CG13577",1,2,1,10,1,1
"6433","Fatp3",136,146,177,512,560,429
"6434","CG13578",7,6,9,12,11,7
"6435","Slik",12582,10875,12957,11212,9214,8298
"6436","CG15873",0,0,0,7,0,0
"6437","Pgam5-2",0,0,1,5,0,0
"6438","CG3483",0,0,0,12,0,0
"6439","CG4563",0,0,6,4,8,2
"6443","CG13579",398,347,584,1238,1198,907
"6445","CG13590",0,2,0,0,0,1
"6446","CG13581",1,0,1,4,1,0
"6447","CG4612",2779,2477,3703,5870,5508,4843
"6448","Ir60e",3,1,1,6,0,5
"6449","CG13585",677,698,969,1049,842,1886
"6450","CG4622",1597,1427,1688,1318,1010,1181
"6452","ITP",603,526,872,1148,1019,942
"6453","CG11414",5181,4015,4653,3407,2812,2770
"6454","uri",1980,1684,1950,1308,955,1081
"6455","Fcp1",2645,2205,2922,2214,1804,1778
"6456","CG3511",2007,1692,2187,1664,1237,1414
"6457","Start1",1434,1311,1542,2045,1584,1790
"6458","CG13587",24,12,15,24,25,29
"6459","ATPsynF",4418,4063,6164,5039,3632,11790
"6460","CG3548",1513,1506,1897,1958,1634,1821
"6461","CG3565",2,2,5,13,4,2
"6462","Samtor",1128,1077,1270,780,514,814
"6463","CG4707",2541,2406,2824,1678,1252,1459
"6465","CG4741",57,36,73,52,75,46
"6466","CG13594",1120,962,1720,1722,1618,1559
"6467","CG3640",2,1,4,3,3,2
"6468","CG4781",1,1,8,5,4,2
"6469","CG3663",475,516,599,391,228,749
"6470","ND-19",2172,1657,2194,1819,1292,2266
"6471","Pof",1659,1453,1828,1491,949,1504
"6472","Mmp1",921,1230,771,6447,4198,3550
"6473","SiaT",383,343,559,984,857,907
"6474","spz6",86,51,50,108,99,88
"6475","CG3880",136,92,121,94,93,87
"6476","CG3894",942,913,1146,851,659,735
"6477","Eps-15",10749,8357,10958,10278,8018,7996
"6478","CG3594",1398,1203,1443,915,607,990
"6479","TyrRS-m",897,717,996,771,550,721
"6480","CG3589",1035,879,1137,1196,860,1146
"6481","CG12849",1,0,0,1,0,0
"6482","CG3611",0,0,2,5,0,0
"6483","CG3650",1,0,0,0,0,0
"6484","CG16896",3338,2949,3681,2147,1761,1648
"6485","Ance-5",386,210,708,405,615,479
"6488","CG2811",1094,1126,1502,1012,656,1495
"6489","Tina-1",4874,3549,4176,3727,2938,4110
"6490","CG15861",453,319,386,373,314,376
"6491","CG3770",447,365,404,640,497,599
"6492","CG12851",817,682,1159,1434,1576,1243
"6493","CG2765",5258,3967,4801,4403,3644,3647
"6494","CG3776",2588,2257,2751,1998,1488,2411
"6495","Phk-3",189,210,226,378,269,737
"6496","CG2736",218,343,584,404,1428,555
"6497","CG3829",1982,1411,1445,1195,1021,911
"6498","Nplp1",8330,6639,12156,15288,13684,13864
"6499","CG9380",333,249,475,395,292,311
"6500","CG13405",5,2,1,11,2,1
"6501","CG6845",5856,4986,6518,3907,2707,3000
"6502","p130CAS",4997,4477,6407,6305,5749,5040
"6503","CG7049",9,6,12,9,3,4
"6504","Vdup1",3163,2788,3277,2275,1755,1975
"6505","CG13875",55,44,98,61,47,76
"6506","rno",7648,6573,7695,7478,5586,5030
"6507","mri",3797,3518,4057,3507,2633,3524
"6508","CG13876",498,483,648,391,247,464
"6509","thoc7",2458,2324,2723,2051,1473,2743
"6510","Dis3l2",3323,2730,3456,2801,2081,2066
"6512","pyx",832,673,941,666,500,554
"6513","wac",2208,2084,2662,1747,1128,3317
"6514","Tudor-SN",18803,16288,18916,18716,15344,15220
"6515","mRpL17",1488,1433,1912,1160,723,1686
"6516","ttm2",9,14,17,43,12,17
"6519","CG1231",82,88,154,124,132,173
"6520","CG1233",1758,1482,1901,1559,1272,1278
"6521","CG13884",6,9,16,14,10,9
"6522","CG13891",16,12,5,17,7,13
"6523","BORCS6",332,382,406,481,363,718
"6524","Cypl",1409,1236,1388,1094,817,1256
"6525","Hipk",14046,11874,13835,10974,9208,8114
"6526","Ppm1",8,3,11,34,4,8
"6527","Kah",2,8,5,57,44,46
"6528","MED14",7137,6432,7419,6390,5108,4735
"6529","CG13893",356,240,390,316,318,319
"6530","Gale",2122,1825,2171,2351,1801,2139
"6531","CG3402",1357,1123,1533,1334,1093,1685
"6532","MED30",1492,1307,1432,1103,843,1103
"6533","Rev1",2231,1739,2024,1805,1268,1519
"6534","CG17129",197,184,247,216,134,137
"6535","CG3386",749,649,806,837,646,885
"6536","ebd1",1462,1283,1440,1642,1181,1400
"6537","hiro",33,24,30,36,25,34
"6538","RabX6",248,209,238,409,353,569
"6539","CG13894",1416,1229,1679,1536,1172,1267
"6540","CG13895",3586,2957,3548,2060,1521,1701
"6541","CG13896",721,628,916,708,459,798
"6542","hng3",1010,961,1074,1676,1181,1531
"6543","CG13898",2,4,3,23,3,12
"6544","Sf3b3",17817,16346,17266,13212,9863,9984
"6545","CG13901",1431,1295,1721,914,606,1213
"6546","CG13887",5932,5378,6511,5761,4188,6729
"6547","JMJD5",813,693,817,734,545,757
"6548","Gr61a",184,205,295,166,106,151
"6549","Cep290",618,713,1022,706,499,498
"6550","Dci",1162,1070,1489,1582,1284,2161
"6551","dpr20",546,475,880,980,1012,975
"6552","CG12502",537,468,869,735,715,681
"6554","mat",0,4,19,85,22,5
"6555","CG12038",522,482,770,1167,946,1492
"6556","CG9205",3115,2775,3414,2919,1972,4065
"6557","CG13912",11,15,22,25,27,86
"6558","Trh",501,392,873,631,566,658
